"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22"
"A",1.33,1.33238095238095,1.3347619047619,1.33714285714286,1.33952380952381,1.34190476190476,1.34428571428571,1.34666666666667,1.34904761904762,1.35142857142857,1.35380952380952,1.35619047619048,1.35857142857143,1.36095238095238,1.36333333333333,1.36571428571429,1.36809523809524,1.37047619047619,1.37285714285714,1.3752380952381,1.37761904761905,1.38
"A",1.33,1.33238095238095,1.3347619047619,1.33714285714286,1.33952380952381,1.34190476190476,1.34428571428571,1.34666666666667,1.34904761904762,1.35142857142857,1.35380952380952,1.35619047619048,1.35857142857143,1.36095238095238,1.36333333333333,1.36571428571429,1.36809523809524,1.37047619047619,1.37285714285714,1.3752380952381,1.37761904761905,1.38
"A",1.33,1.33238095238095,1.3347619047619,1.33714285714286,1.33952380952381,1.34190476190476,1.34428571428571,1.34666666666667,1.34904761904762,1.35142857142857,1.35380952380952,1.35619047619048,1.35857142857143,1.36095238095238,1.36333333333333,1.36571428571429,1.36809523809524,1.37047619047619,1.37285714285714,1.3752380952381,1.37761904761905,1.38
"A",1.33,1.33238095238095,1.3347619047619,1.33714285714286,1.33952380952381,1.34190476190476,1.34428571428571,1.34666666666667,1.34904761904762,1.35142857142857,1.35380952380952,1.35619047619048,1.35857142857143,1.36095238095238,1.36333333333333,1.36571428571429,1.36809523809524,1.37047619047619,1.37285714285714,1.3752380952381,1.37761904761905,1.38
"B",1.33,1.33142857142857,1.33285714285714,1.33428571428571,1.33571428571429,1.33714285714286,1.33857142857143,1.34,1.34142857142857,1.34285714285714,1.34428571428571,1.34571428571429,1.34714285714286,1.34857142857143,1.35,1.35142857142857,1.35285714285714,1.35428571428571,1.35571428571429,1.35714285714286,1.35857142857143,1.36
"B",1.33,1.33142857142857,1.33285714285714,1.33428571428571,1.33571428571429,1.33714285714286,1.33857142857143,1.34,1.34142857142857,1.34285714285714,1.34428571428571,1.34571428571429,1.34714285714286,1.34857142857143,1.35,1.35142857142857,1.35285714285714,1.35428571428571,1.35571428571429,1.35714285714286,1.35857142857143,1.36
"B",1.33,1.33142857142857,1.33285714285714,1.33428571428571,1.33571428571429,1.33714285714286,1.33857142857143,1.34,1.34142857142857,1.34285714285714,1.34428571428571,1.34571428571429,1.34714285714286,1.34857142857143,1.35,1.35142857142857,1.35285714285714,1.35428571428571,1.35571428571429,1.35714285714286,1.35857142857143,1.36
"B",1.33,1.33142857142857,1.33285714285714,1.33428571428571,1.33571428571429,1.33714285714286,1.33857142857143,1.34,1.34142857142857,1.34285714285714,1.34428571428571,1.34571428571429,1.34714285714286,1.34857142857143,1.35,1.35142857142857,1.35285714285714,1.35428571428571,1.35571428571429,1.35714285714286,1.35857142857143,1.36
"C",1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33
"C",1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33
