"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22"
"6",1.94,1.94106207667062,1.94,1.9,1.86,1.85,1.84,1.83,1.82,1.795,1.77,1.7551160832859,1.745,1.74390491793112,1.745,1.75960064879275,1.79195,1.82604656111679,1.8389,1.82520405468835,1.8,1.8
"13",2.12,2.08163900850751,2.06,2.05,2.04,2.02,2,1.985,1.97,1.95,1.93,1.9266004724759,1.925,1.92441599463414,1.925,1.94901309590514,2.0018,2.05548391671707,2.0786,2.04211570826253,1.94,1.94
"20",1.88,1.90167626453511,1.91,1.89,1.87,1.87,1.87,1.85665472336544,1.84,1.82,1.8,1.823,1.846,1.846,1.846,1.86212092984638,1.8983,1.93589548317872,1.9506,1.9421048400718,1.93,1.93
"31",2.12,2.09175299032793,2.06,2.02,1.98,1.97363222698073,1.97,1.97,1.97,1.935,1.9,1.9795,2.059,2.059,2.059,2.06224733201601,2.06767512265165,2.07434843513133,2.0818,2.09022168405803,2.1,2.1
"9",1.88,1.74610956247957,1.71,1.765,1.82,1.835,1.85,1.87,1.89,1.88,1.87,1.919,1.968,1.96939817011062,1.968,1.95605113573366,1.9354,1.91575855375634,1.9028,1.8955667883797,1.89,1.89
"18",1.97,2.00549531512773,2.02,1.985,1.95,2,2.05,2.06158111218893,2.07,2.025,1.98,2.051,2.122,2.12260314918171,2.122,2.10929176211696,2.0842,2.05968598269226,2.0464,2.04262678523905,2.04,2.04
"23",1.9,1.9306956797967,1.94,1.925,1.91,1.925,1.94,1.94638562091503,1.95,1.915,1.88,1.92,1.96,1.96,1.96,1.97523338336678,2.00535,2.0346072030114,2.0507,2.05596996535723,2.06,2.06
"33",2.16,2.16,2.16,2.16879286425181,2.18,2.205,2.23,2.195,2.16,2.17375753011055,2.19,2.2085,2.227,2.227,2.227,2.23729019499895,2.25815,2.27884783191605,2.2893,2.26803515014311,2.2,2.2
"1",1.94,1.93639536605498,1.93,1.865,1.8,1.845,1.89,1.865,1.84,1.84763036543257,1.86,1.968,2.076,2.076,2.076,2.08656938227648,2.10715,2.1288136226736,2.1383,2.11240959356491,2.04,2.04
"17",2.11,2.11041973724988,2.11,2.08,2.05,2.085,2.12,2.13739157766724,2.15,2.115,2.08,2.1135,2.147,2.147,2.147,2.14808517312062,2.15015,2.15256583688218,2.1533,2.14651539706757,2.13,2.13
