"","SOC_Ultuna.1956","SOC_Ultuna.1957","SOC_Ultuna.1958","SOC_Ultuna.1959","SOC_Ultuna.1960","SOC_Ultuna.1961","SOC_Ultuna.1962","SOC_Ultuna.1963","SOC_Ultuna.1964","SOC_Ultuna.1965","SOC_Ultuna.1966","SOC_Ultuna.1967","SOC_Ultuna.1968","SOC_Ultuna.1969","SOC_Ultuna.1970","SOC_Ultuna.1971","SOC_Ultuna.1972","SOC_Ultuna.1973","SOC_Ultuna.1974","SOC_Ultuna.1975","SOC_Ultuna.1976","SOC_Ultuna.1977","SOC_Ultuna.1978","SOC_Ultuna.1979","SOC_Ultuna.1980","SOC_Ultuna.1981","SOC_Ultuna.1982","SOC_Ultuna.1983","SOC_Ultuna.1984","SOC_Ultuna.1985","SOC_Ultuna.1986","SOC_Ultuna.1987","SOC_Ultuna.1988","SOC_Ultuna.1989","SOC_Ultuna.1990","SOC_Ultuna.1991","SOC_Ultuna.1992","SOC_Ultuna.1993","SOC_Ultuna.1994","SOC_Ultuna.1995","SOC_Ultuna.1996","SOC_Ultuna.1997","SOC_Ultuna.1998","SOC_Ultuna.1999","SOC_Ultuna.2000","SOC_Ultuna.2001","SOC_Ultuna.2002","SOC_Ultuna.2003","SOC_Ultuna.2004","SOC_Ultuna.2005","SOC_Ultuna.2006","SOC_Ultuna.2007","SOC_Ultuna.2008","SOC_Ultuna.2009","SOC_Ultuna.2010","SOC_Ultuna.2011","SOC_Ultuna.2012","SOC_Ultuna.2013","SOC_Ultuna.2014","SOC_Ultuna.2015","SOC_Ultuna.2016","SOC_Ultuna.2017","SOC_Ultuna.V63","SOC_Ultuna.V64","SOC_Ultuna.V65","SOC_Ultuna.V66","SOC_Ultuna.V67","SOC_Ultuna.V68","SOC_Ultuna.V69","SOC_Ultuna.V70","SOC_Ultuna.V71","SOC_Ultuna.V72"
"A",43.3152,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.2707197703266,NA,NA,NA,NA,NA,NA,35.7835196430243,34.5917728850584,NA,34.5772087384131,NA,34.8562536803911,NA,NA,NA,32.4838631235357,NA,30.2821189523134,NA,29.8328971394936,NA,29.5296823692037,NA,29.4836458424066,NA,30.0175138242423,NA,26.7929406541035,NA,28.1717630368976,NA,28.1081805511791,NA,26.6490561426037,NA,NA,NA,25.9946368432512,NA,25.9722074353872,NA,27.1515410094381,NA,26.4498484535041,NA,26.0826927694715,NA,25.5471148842061,NA,25.0345956264787,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B",43.3152,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.0351126493626,NA,NA,NA,NA,NA,NA,38.1285670336921,37.8159685482366,NA,36.9190205800977,NA,38.3575010578263,NA,NA,NA,36.2704158172341,NA,34.5034491490207,NA,33.0294821073185,NA,34.1709344562642,NA,34.9838540490611,NA,33.483882874854,NA,31.411888726865,NA,34.2248129411197,NA,33.5783679860147,NA,31.8229320675303,NA,NA,NA,30.296043250073,NA,30.5554396229878,NA,31.470293502625,NA,30.3090014211523,NA,30.0785832839662,NA,29.2491960063907,NA,28.5198908482042,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C",43.3152,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.824435993196,NA,NA,NA,NA,NA,NA,40.7425186859746,39.5716700645966,NA,40.0958646114608,NA,40.8848978224502,NA,NA,NA,40.1994120136844,NA,37.9105823558746,NA,38.3991168678278,NA,38.8825525681239,NA,40.9639838847098,NA,38.6661027666892,NA,36.9269557981478,NA,39.2295832844941,NA,39.0900908052918,NA,36.8451243551107,NA,NA,NA,36.3432191295874,NA,37.5579357559388,NA,37.7793611938878,NA,36.3707579610361,NA,36.0062096678044,NA,36.037144784792,NA,35.1397632329867,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"D",43.3152,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.4142587226269,NA,NA,NA,NA,NA,NA,40.9996360383713,42.6264899217983,NA,41.4410676504082,NA,41.6291724589115,NA,NA,NA,40.6269319181216,NA,40.7949283940133,NA,38.5501704292307,NA,38.4507906208308,NA,39.1013613406085,NA,37.1264903459931,NA,35.1718372951354,NA,37.3365031097425,NA,36.3964979623514,NA,37.7797709081814,NA,NA,NA,32.6826040356823,NA,32.8000190933595,NA,34.0853637846977,NA,32.2913846840197,NA,32.091254555491,NA,30.9223384901444,NA,30.0150990518047,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E",43.3152,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.440048318867,NA,NA,NA,NA,NA,NA,41.6084395565563,41.2912002669018,NA,41.5060116366562,NA,42.7939999110316,NA,NA,NA,41.5328245487099,NA,39.0375203641358,NA,39.7469150928216,NA,40.9673004963956,NA,41.6060036397711,NA,39.6418227360504,NA,37.6988521848288,NA,39.5854717982111,NA,40.6786856294797,NA,38.7682474204348,NA,NA,NA,37.2039361163596,NA,38.2895285918047,NA,38.8638525936367,NA,37.8100583118565,NA,37.6548985178847,NA,37.1188609384227,NA,37.3325297406517,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"F",43.3152,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.4279857710017,NA,NA,NA,NA,NA,NA,46.3697246145445,46.9206322938064,NA,45.143120722852,NA,45.6843863154774,NA,NA,NA,45.8923519012039,NA,42.9737145540544,NA,42.9317954225585,NA,48.0422642376877,NA,47.6675635770836,NA,43.8764638450315,NA,42.3743411013971,NA,45.6778832834655,NA,43.8757978222324,NA,42.9652381855757,NA,NA,NA,40.2725254805629,NA,43.2951608581631,NA,41.8299224025391,NA,40.5988895044432,NA,40.6822069661316,NA,40.7939936334175,NA,42.1070920743726,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"G",43.3152,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.7462712927669,NA,NA,NA,NA,NA,NA,49.1771555880327,48.5501329678569,NA,48.7158560448695,NA,49.6863167348245,NA,NA,NA,50.4857579058522,NA,46.5670161593431,NA,48.292428596454,NA,53.1676921774348,NA,54.7775442854684,NA,49.3085305811415,NA,50.1298779562721,NA,51.9441807088336,NA,51.6804053087928,NA,51.9531584562659,NA,NA,NA,49.4278145597766,NA,50.1855816899693,NA,50.8868772507108,NA,49.4552543032304,NA,50.1183369872492,NA,49.8338666238108,NA,49.2142310518872,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"H",43.3152,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.4834027403711,NA,NA,NA,NA,NA,NA,48.3507901041191,46.5773559679649,NA,47.1086751997548,NA,48.4884790330387,NA,NA,NA,48.3657334732312,NA,45.4531574272284,NA,46.2419001321406,NA,49.8559745619959,NA,50.3090004078024,NA,45.1341066007949,NA,43.9131350548027,NA,48.5482507269373,NA,45.9086291479633,NA,47.4864122730409,NA,NA,NA,43.1153025613971,NA,44.4071546115016,NA,42.992277163812,NA,42.7370294812693,NA,43.4043750296716,NA,41.5202006319678,NA,41.4362541670005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"I",43.3152,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.6207643062993,NA,NA,NA,NA,NA,NA,64.453183474975,63.0136602563191,NA,64.5231045354241,NA,69.7484289729185,NA,NA,NA,68.1148160703854,NA,63.5545364602533,NA,68.1030108517846,NA,79.9816617943266,NA,86.0326409740996,NA,73.1729025028641,NA,84.6463166462052,NA,85.7947481830922,NA,80.826587075305,NA,84.2187159508517,NA,NA,NA,79.6232996608659,NA,81.0632017089691,NA,84.0282165241439,NA,80.1046743979662,NA,83.4753481632641,NA,85.3105794660165,NA,84.0155219721841,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"J",43.3152,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.0991354432654,NA,NA,NA,NA,NA,NA,54.4020514037605,54.0418051533193,NA,55.0341640770398,NA,54.6158930041639,NA,NA,NA,52.6817594782169,NA,53.624496505942,NA,54.0050133116738,NA,60.0171966448382,NA,61.1075003781939,NA,51.5746724815113,NA,54.2751183294204,NA,57.9654787115247,NA,57.9564965618206,NA,56.9384828493794,NA,NA,NA,55.9106109731281,NA,56.6831588144316,NA,58.9951969362421,NA,55.4385423266927,NA,56.7441691233292,NA,56.8250174199966,NA,57.1169017798636,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
