"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62"
"A",1.44,1.43983606557377,1.43967213114754,1.43950819672131,1.43934426229508,1.43918032786885,1.43901639344262,1.43885245901639,1.43868852459016,1.43852459016393,1.4383606557377,1.43819672131148,1.43803278688525,1.43786885245902,1.43770491803279,1.43754098360656,1.43737704918033,1.4372131147541,1.43704918032787,1.43688524590164,1.43672131147541,1.43655737704918,1.43639344262295,1.43622950819672,1.43606557377049,1.43590163934426,1.43573770491803,1.4355737704918,1.43540983606557,1.43524590163934,1.43508196721311,1.43491803278689,1.43475409836066,1.43459016393443,1.4344262295082,1.43426229508197,1.43409836065574,1.43393442622951,1.43377049180328,1.43360655737705,1.43344262295082,1.43327868852459,1.43311475409836,1.43295081967213,1.4327868852459,1.43262295081967,1.43245901639344,1.43229508196721,1.43213114754098,1.43196721311475,1.43180327868852,1.43163934426229,1.43147540983607,1.43131147540984,1.43114754098361,1.43098360655738,1.43081967213115,1.43065573770492,1.43049180327869,1.43032786885246,1.43016393442623,1.43
"A",1.44,1.43983606557377,1.43967213114754,1.43950819672131,1.43934426229508,1.43918032786885,1.43901639344262,1.43885245901639,1.43868852459016,1.43852459016393,1.4383606557377,1.43819672131148,1.43803278688525,1.43786885245902,1.43770491803279,1.43754098360656,1.43737704918033,1.4372131147541,1.43704918032787,1.43688524590164,1.43672131147541,1.43655737704918,1.43639344262295,1.43622950819672,1.43606557377049,1.43590163934426,1.43573770491803,1.4355737704918,1.43540983606557,1.43524590163934,1.43508196721311,1.43491803278689,1.43475409836066,1.43459016393443,1.4344262295082,1.43426229508197,1.43409836065574,1.43393442622951,1.43377049180328,1.43360655737705,1.43344262295082,1.43327868852459,1.43311475409836,1.43295081967213,1.4327868852459,1.43262295081967,1.43245901639344,1.43229508196721,1.43213114754098,1.43196721311475,1.43180327868852,1.43163934426229,1.43147540983607,1.43131147540984,1.43114754098361,1.43098360655738,1.43081967213115,1.43065573770492,1.43049180327869,1.43032786885246,1.43016393442623,1.43
"A",1.44,1.43983606557377,1.43967213114754,1.43950819672131,1.43934426229508,1.43918032786885,1.43901639344262,1.43885245901639,1.43868852459016,1.43852459016393,1.4383606557377,1.43819672131148,1.43803278688525,1.43786885245902,1.43770491803279,1.43754098360656,1.43737704918033,1.4372131147541,1.43704918032787,1.43688524590164,1.43672131147541,1.43655737704918,1.43639344262295,1.43622950819672,1.43606557377049,1.43590163934426,1.43573770491803,1.4355737704918,1.43540983606557,1.43524590163934,1.43508196721311,1.43491803278689,1.43475409836066,1.43459016393443,1.4344262295082,1.43426229508197,1.43409836065574,1.43393442622951,1.43377049180328,1.43360655737705,1.43344262295082,1.43327868852459,1.43311475409836,1.43295081967213,1.4327868852459,1.43262295081967,1.43245901639344,1.43229508196721,1.43213114754098,1.43196721311475,1.43180327868852,1.43163934426229,1.43147540983607,1.43131147540984,1.43114754098361,1.43098360655738,1.43081967213115,1.43065573770492,1.43049180327869,1.43032786885246,1.43016393442623,1.43
"A",1.44,1.43983606557377,1.43967213114754,1.43950819672131,1.43934426229508,1.43918032786885,1.43901639344262,1.43885245901639,1.43868852459016,1.43852459016393,1.4383606557377,1.43819672131148,1.43803278688525,1.43786885245902,1.43770491803279,1.43754098360656,1.43737704918033,1.4372131147541,1.43704918032787,1.43688524590164,1.43672131147541,1.43655737704918,1.43639344262295,1.43622950819672,1.43606557377049,1.43590163934426,1.43573770491803,1.4355737704918,1.43540983606557,1.43524590163934,1.43508196721311,1.43491803278689,1.43475409836066,1.43459016393443,1.4344262295082,1.43426229508197,1.43409836065574,1.43393442622951,1.43377049180328,1.43360655737705,1.43344262295082,1.43327868852459,1.43311475409836,1.43295081967213,1.4327868852459,1.43262295081967,1.43245901639344,1.43229508196721,1.43213114754098,1.43196721311475,1.43180327868852,1.43163934426229,1.43147540983607,1.43131147540984,1.43114754098361,1.43098360655738,1.43081967213115,1.43065573770492,1.43049180327869,1.43032786885246,1.43016393442623,1.43
"B",1.44,1.43934426229508,1.43868852459016,1.43803278688525,1.43737704918033,1.43672131147541,1.43606557377049,1.43540983606557,1.43475409836066,1.43409836065574,1.43344262295082,1.4327868852459,1.43213114754098,1.43147540983607,1.43081967213115,1.43016393442623,1.42950819672131,1.42885245901639,1.42819672131148,1.42754098360656,1.42688524590164,1.42622950819672,1.4255737704918,1.42491803278689,1.42426229508197,1.42360655737705,1.42295081967213,1.42229508196721,1.42163934426229,1.42098360655738,1.42032786885246,1.41967213114754,1.41901639344262,1.4183606557377,1.41770491803279,1.41704918032787,1.41639344262295,1.41573770491803,1.41508196721311,1.4144262295082,1.41377049180328,1.41311475409836,1.41245901639344,1.41180327868852,1.41114754098361,1.41049180327869,1.40983606557377,1.40918032786885,1.40852459016393,1.40786885245902,1.4072131147541,1.40655737704918,1.40590163934426,1.40524590163934,1.40459016393443,1.40393442622951,1.40327868852459,1.40262295081967,1.40196721311475,1.40131147540984,1.40065573770492,1.4
"B",1.44,1.43934426229508,1.43868852459016,1.43803278688525,1.43737704918033,1.43672131147541,1.43606557377049,1.43540983606557,1.43475409836066,1.43409836065574,1.43344262295082,1.4327868852459,1.43213114754098,1.43147540983607,1.43081967213115,1.43016393442623,1.42950819672131,1.42885245901639,1.42819672131148,1.42754098360656,1.42688524590164,1.42622950819672,1.4255737704918,1.42491803278689,1.42426229508197,1.42360655737705,1.42295081967213,1.42229508196721,1.42163934426229,1.42098360655738,1.42032786885246,1.41967213114754,1.41901639344262,1.4183606557377,1.41770491803279,1.41704918032787,1.41639344262295,1.41573770491803,1.41508196721311,1.4144262295082,1.41377049180328,1.41311475409836,1.41245901639344,1.41180327868852,1.41114754098361,1.41049180327869,1.40983606557377,1.40918032786885,1.40852459016393,1.40786885245902,1.4072131147541,1.40655737704918,1.40590163934426,1.40524590163934,1.40459016393443,1.40393442622951,1.40327868852459,1.40262295081967,1.40196721311475,1.40131147540984,1.40065573770492,1.4
"B",1.44,1.43934426229508,1.43868852459016,1.43803278688525,1.43737704918033,1.43672131147541,1.43606557377049,1.43540983606557,1.43475409836066,1.43409836065574,1.43344262295082,1.4327868852459,1.43213114754098,1.43147540983607,1.43081967213115,1.43016393442623,1.42950819672131,1.42885245901639,1.42819672131148,1.42754098360656,1.42688524590164,1.42622950819672,1.4255737704918,1.42491803278689,1.42426229508197,1.42360655737705,1.42295081967213,1.42229508196721,1.42163934426229,1.42098360655738,1.42032786885246,1.41967213114754,1.41901639344262,1.4183606557377,1.41770491803279,1.41704918032787,1.41639344262295,1.41573770491803,1.41508196721311,1.4144262295082,1.41377049180328,1.41311475409836,1.41245901639344,1.41180327868852,1.41114754098361,1.41049180327869,1.40983606557377,1.40918032786885,1.40852459016393,1.40786885245902,1.4072131147541,1.40655737704918,1.40590163934426,1.40524590163934,1.40459016393443,1.40393442622951,1.40327868852459,1.40262295081967,1.40196721311475,1.40131147540984,1.40065573770492,1.4
"B",1.44,1.43934426229508,1.43868852459016,1.43803278688525,1.43737704918033,1.43672131147541,1.43606557377049,1.43540983606557,1.43475409836066,1.43409836065574,1.43344262295082,1.4327868852459,1.43213114754098,1.43147540983607,1.43081967213115,1.43016393442623,1.42950819672131,1.42885245901639,1.42819672131148,1.42754098360656,1.42688524590164,1.42622950819672,1.4255737704918,1.42491803278689,1.42426229508197,1.42360655737705,1.42295081967213,1.42229508196721,1.42163934426229,1.42098360655738,1.42032786885246,1.41967213114754,1.41901639344262,1.4183606557377,1.41770491803279,1.41704918032787,1.41639344262295,1.41573770491803,1.41508196721311,1.4144262295082,1.41377049180328,1.41311475409836,1.41245901639344,1.41180327868852,1.41114754098361,1.41049180327869,1.40983606557377,1.40918032786885,1.40852459016393,1.40786885245902,1.4072131147541,1.40655737704918,1.40590163934426,1.40524590163934,1.40459016393443,1.40393442622951,1.40327868852459,1.40262295081967,1.40196721311475,1.40131147540984,1.40065573770492,1.4
"C",1.44,1.43737704918033,1.43475409836066,1.43213114754098,1.42950819672131,1.42688524590164,1.42426229508197,1.42163934426229,1.41901639344262,1.41639344262295,1.41377049180328,1.41114754098361,1.40852459016393,1.40590163934426,1.40327868852459,1.40065573770492,1.39803278688525,1.39540983606557,1.3927868852459,1.39016393442623,1.38754098360656,1.38491803278689,1.38229508196721,1.37967213114754,1.37704918032787,1.3744262295082,1.37180327868852,1.36918032786885,1.36655737704918,1.36393442622951,1.36131147540984,1.35868852459016,1.35606557377049,1.35344262295082,1.35081967213115,1.34819672131148,1.3455737704918,1.34295081967213,1.34032786885246,1.33770491803279,1.33508196721311,1.33245901639344,1.32983606557377,1.3272131147541,1.32459016393443,1.32196721311475,1.31934426229508,1.31672131147541,1.31409836065574,1.31147540983607,1.30885245901639,1.30622950819672,1.30360655737705,1.30098360655738,1.2983606557377,1.29573770491803,1.29311475409836,1.29049180327869,1.28786885245902,1.28524590163934,1.28262295081967,1.28
"C",1.44,1.43737704918033,1.43475409836066,1.43213114754098,1.42950819672131,1.42688524590164,1.42426229508197,1.42163934426229,1.41901639344262,1.41639344262295,1.41377049180328,1.41114754098361,1.40852459016393,1.40590163934426,1.40327868852459,1.40065573770492,1.39803278688525,1.39540983606557,1.3927868852459,1.39016393442623,1.38754098360656,1.38491803278689,1.38229508196721,1.37967213114754,1.37704918032787,1.3744262295082,1.37180327868852,1.36918032786885,1.36655737704918,1.36393442622951,1.36131147540984,1.35868852459016,1.35606557377049,1.35344262295082,1.35081967213115,1.34819672131148,1.3455737704918,1.34295081967213,1.34032786885246,1.33770491803279,1.33508196721311,1.33245901639344,1.32983606557377,1.3272131147541,1.32459016393443,1.32196721311475,1.31934426229508,1.31672131147541,1.31409836065574,1.31147540983607,1.30885245901639,1.30622950819672,1.30360655737705,1.30098360655738,1.2983606557377,1.29573770491803,1.29311475409836,1.29049180327869,1.28786885245902,1.28524590163934,1.28262295081967,1.28
